서울덕수초등학교,서울시 중구 퇴계로22길 17,02-735-7225
꾸러기어린이집,서울시 관악구 문성로 242,02-864-6636
휘문 고등학교,서울시 강남구 역삼로 541,070-7090-0300
소리의원@강서점,서울시 강서구 강서로  215-1,02-1600-7592
서울대학교해동학술관,서울시 관악구 관악로  1,
창천초등학교,서울시 마포구 백범로1길 56,02-715-4667
창일중,서울시 도봉구 노해로66길 60,02-994-5934
서울정진학교,서울시 구로구 부일로9길  158,02-2688-1303
구립천호어린이집,서울시 강동구 천중로35길 60,02-483-1439
동천학교,서울시 노원구 노원로18길 41,02-974-9575
경기기계공업고등학교,서울시 노원구 공릉로 264,070-7602-1608
개웅초등학교,서울시 구로구 개봉로11길 98,02-2683-1291
김홍일내과,서울시 금천구 시흥대로 202,
신길초등학교,서울시 동작구 알마타길 16,02-815-3741
대조동 주민센터,서울시 은평구 연서로20길 24-3,02-351-5182
고덕 우체국,서울시 강동구 고덕로 362,02-426-0004
삼육초등학교,서울시 동대문구 회기로10길  63,02-960-7262
경신중학교,서울시 종로구 혜화로 74,02-762-0390
미래산업고등학교,서울시 노원구 덕릉로82길 54,070-7600-9701
방배2동주민센터,서울시 서초구 청두곶길 36,02-2155-7771
조원동복합청사,서울시 관악구 조원로12길 25,02-879-4561
서울금천우체국,서울시 금천구 시흥대로 410,02-861-4403
대륭포스트타워6차,서울시 금천구 벚꽃로  298,02-839-3999
BYC HIGHCITY,서울시 금천구 가산디지털1로  131,02-840-3210
이노플렉스-I,서울시 금천구 가산디지털1로 151,02-373-4001
방학2동주민센터,서울시 도봉구 시루봉로   226,02-2289-1506
강서구청,서울시 강서구 화곡로 302,02-2600-6114
동작경찰서,서울시 동작구 노량진로 148,02-822-0112
은평구립도서관,서울시 은평구 통일로78가길 13-84,02-385-1671
휘경중학교,서울시 동대문구 망우로18나길 20,02-2244-1359
금천구립정보도서관,서울시 금천구 독산로54길 114,02-837-4569
진형중고등학교,서울시 종로구 종로 386,02-2235-0001
노원정보도서관,서울시 노원구 노원로34길 43,02-950-0050
박정희 대통령 기념 도서관 ,서울시 마포구 월드컵로 386,02-716-9345
서울사대부속중학교,서울시 성북구 월곡로 6,02-943-5812
경희대학교 의과대학동서신의학병원,서울시 강동구 동남로 892,02-1577-5800
강남성심병원별관,서울시 영등포구 신길로 19-2,
서부수도사업소,서울시 마포구 환일길  13,02-3146-3500
종로구청,서울시 종로구 삼봉로 43,02-2148-1114
대림초등학교,서울시 동작구 대방동1길 22,02-822-1984
서울 참병원,서울시 영등포구 양평로22사길 9,02-2634-7000
동성어린이집,서울시 강북구 솔매로 93,
중곡제3동주민센터,서울시 광진구 동일로76나길 31,02-450-1503
마포경찰서,서울시 마포구 마포대로  183,02-393-0112
양정고등학교,서울시 양천구 안양천로 1039,02-2649-7071
성아어린이집,서울시 관악구 난곡로22길 23,02-857-5335
사임당어린이집,서울시 성북구 지봉로20길  38,02-929-6605
목운중학교,서울시 양천구 목동동로 235,02-2651-4060
세빛어린이집,서울시 강동구 올림픽로88길 8,02-472-0532
광진구청제1별관,서울시 광진구 자양로 117,
동명여자고등학교,서울시 은평구 통일로  793,02-385-0655
신성초등학교,서울시 관악구 신림로 114,02-875-7611
번2동주민센터,서울시 강북구 한천로 897,02-901-2074
피카소어린이집,서울시 중랑구 동일로123길 42-7,
가산동복합청사,서울시 금천구 가산로  129,
홈플러스 중계점,서울시 노원구 동일로204가길 12,02-986-2080
중앙학술정보관,서울시 종로구 성균관로 25-2,02-760-0099
은하수어린이집,서울시 관악구 은천로25길 33,070-4132-3739
망우청소년수련관,서울시 중랑구 송림길 156,02-492-7942
세종어린이집,서울시 송파구 가락로39길 6,02-413-5278
동양어린이집,서울시 강북구 오현로25다길 72,02-980-3891
성북청소년수련관,서울시 성북구 한천로95길  7,02-3292-1318
앨리스어린이집,서울시 강동구 고덕로20가길 21,02-3427-3347
서울대슬로싱실험동,서울시 관악구 관악로  1,
성공회대학교,서울시 구로구 연동로  320,02-2610-4114
사임당어린이집,서울시 성북구 화랑로42길 52-10,
나누리병원,서울시 강남구 언주로 731,02-1688-9797
숭실대전산센터,서울시 동작구 사당로 46,02-820-0114
연천초등학교,서울시 은평구 연서로34길 22,02-357-3911
여의도중학교,서울시 영등포구 국제금융로7길 46,02-782-0801
경인초등학교,서울시 양천구 안양천로 1009,02-2647-2568
구로초등학교,서울시 구로구 구로중앙로27나길 21,02-861-1941
서울대사회과학동,서울시 관악구 관악로  1,02-880-5114
성사중학교,서울시 마포구 모래내로9길 16,02-373-8002
인수중학교,서울시 강북구 인수봉로 75-10,02-900-7801
중대부속초등학교,서울시 동작구 흑석로 47,02-815-0145
방배우체국,서울시 서초구 방배로 238,02-534-6222 
백상어린이집,서울시 관악구 신림로28길 18,02-883-3803
녹번동 어린이집 신축(도담어린이집),서울시 은평구 진흥로  128-5,02-357-6555
중앙대학교(약과대학),서울시 동작구 흑석로6길 61,02-820-5592
서울대학교기초과학동(22동),서울시 관악구 관악로 1,02-880-5114
청소년수련관,서울시 은평구 백련산로4길 16,02-383-9966
서울대대림국제관,서울시 관악구 관악로  1,
샘소슬어린이집,서울시 구로구 부일로17길 5,02-2688-2936
사임당어린이집,서울시 송파구 백제고분로11길 14-14,02-416-6126
하람터어린이집,서울시 강서구 강서로17다길 15-14,02-2603-2225
케이투코리아,서울시 성동구 아차산로11가길  3,1644-7781
방배본동주민센터,서울시 서초구 동광로19길  38,02-2155-7711
코오롱디지털타워,서울시 영등포구 양평로22길 21,
노원전화국,서울시 노원구 노해로 502,080-258-1044
솔버스 아파트형공장,서울시 영등포구 선유서로31길 3,
참포도나무병원,서울시 서초구 바우뫼로35길 32,02-1588-0831
인화재활병원,서울시 양천구 신월로 156,02-2696-0119
을지병원(본관동),서울시 노원구 한글비석로 68,02-1899-0001
현대백화점 압구정점,서울시 강남구 압구정로 165,02-547-2233
응봉동주민센터,서울시 성동구 독서당로 424,02-2286-7321
대일관광디자인고,서울시 성북구 서경로  118,02-940-7373
제일 정형외과 병원,서울시 강남구 테헤란로 332,02-501-6868
구로고대부속병원장례식장,서울시 구로구 가마산로 218,02-818-6444
도봉병원&lt;본관&gt;,서울시 도봉구 도봉로 720,02-3492-3250
정릉2동주민센터,서울시 성북구 정릉로26길 1,02-917-6603
오금중학교,서울시 송파구 오금로35길 20,02-402-4777
서울적십자병원(장례식장),서울시 종로구 새문안로 9,02-2002-8444
송파경찰서,서울시 송파구 중대로 221,1566-0112
서울 영동 우체국,서울시 강남구 언주로 721,02-515-0411
순천향대학교병원(교수연구동),서울시 용산구 대사관로 59,02-709-9114
관악중학교,서울시 관악구 남부순환로237길 60,02-889-1782
우리어린이집,서울시 강동구 구천면로 259-1,02-475-1918
새롬미술어린이집,서울시 은평구 증산로5길 10,
연광초등학교,서울시 은평구 연서로35길  37,02-353-5141
동덕여대인덕관,서울시 성북구 화랑로13길 59,02-940-4000
연세대학교 GS칼텍스산학협력관,서울시 서대문구 연세로  50,1599-1885
공연초등학교,서울시 노원구 동일로192나길 16-15,02-977-4121
마장초등학교,서울시 성동구 마장로35나길  31,02-2292-1834
용암초등학교,서울시 용산구 녹사평대로60길  39,02-796-0456
신원초등학교,서울시 양천구 남부순환로58길 32,02-2608-4675
동신중학교,서울시 강동구 진황도로 72,02-3784-3938
매동초등학교,서울시 종로구 사직로9길 19,02-737-4263
옥정초등학교,서울시 성동구 한림말길  43,02-2297-0148
신창중학교,서울시 노원구 월계로45길 92,02-904-4206
서울 대영중학교,서울시 영등포구 도림로80가길  14,02-848-7781
당산중학교,서울시 영등포구 버드나루로  160,02-2177-9900
힘찬병원,서울시 강서구 강서로56길  38,02-1577-9229
신동아프라자&lt;신세계음악학원&gt;,서울시 도봉구 방학로  223,02-954-2987
화곡중학교,서울시 강서구 강서로45길 70,070-8644-6509
강서초등학교,서울시 양천구 오목로 31,02-2604-9763
서울원효초등학교,서울시 용산구 효창원로13길  38,02-716-4424
고명중학교,서울시 성북구 북악산로 870,02-926-2837
서강대학교 토마스 모어관(고시동) ,서울시 마포구 백범로  35,02-705-8114
서울대학교 두산인문관,서울시 관악구 관악로  1,
진학학원,서울시 금천구 시흥대로 208,02-809-4646
연세대학교 학생회관,서울시 서대문구 연세로 50,02-1599-1885
동원중학교,서울시 중랑구 양원역로 32,02-493-8129
오봉초,서울시 도봉구 시루봉로 285,02-3492-8613
등원초등학교,서울시 강서구 화곡로65길 90,02-2658-2233
영도초등학교,서울시 양천구 목동중앙로 70,02-2647-2387
대선 APEX CENTER,서울시 성동구 아차산로7나길  18,080-959-5100
한국장애인공단 서울지사,서울시 종로구 인사동길 12,02-6320-7000
양재자동차학원,서울시 서초구 남부순환로342길 62-26,02-501-1682
CBS방송국,서울시 양천구 목동서로 159-1,02-2650-7000
영등포고등학교,서울시 동작구 등용로8길 5,02-816-8324
세종C&amp;P,서울시 성동구 아차산로 138,02-467-5041
태양물산주식회사,서울시 구로구 디지털로31길 12,
총신대학교,서울시 동작구 사당로 143,02-3479-0200
상원중학교,서울시 노원구 수락산로 182,02-930-0761
신현고등학교,서울시 중랑구 봉화산로 174,02-3422-2715
서경대평생교육원(M동),서울시 성북구 서경로 124,02-940-7070
서울과학종합대학원대학교,서울시 서대문구 이화여대2길 46,070-7012-2700
강서유치원,서울시 강서구 까치산로18길 7-19,
성서중학교,서울시 마포구 성산로4길  42,02-337-6650
중앙대학교 공연 영상예술원,서울시 종로구 이화장길  86-8,02-3676-0777
세종대학교학생회관,서울시 광진구 동일로44길 9,02-3408-3114
선유고등학교,서울시 영등포구 선유로 227,02-2069-0036
국민건강보험강북지사,서울시 강북구 솔매로50길 43,1577-1000
구로구청,서울시 구로구 가마산로 245,02-860-2114
창5동주민센터,서울시 도봉구 도봉로136나길 20,02-2091-5892
알에스엠타워,서울시 금천구 가산디지털2로  30,
서울연지초등학교,서울시 노원구 월계로55길 48,02-979-8091
홍익대학교 삼개 예술의 집 ,서울시 마포구 와우산로 94,02-320-1114
염강초등학교,서울시 강서구 허준로  221-22,02-2659-4984
상암고등학교,서울시 마포구 월드컵북로 445,02-373-0041
염창중학교,서울시 강서구 양천로67가길 83,02-3664-2885
신화초,서울시 도봉구 우이천로 120,02-992-9031
아현중학교,서울시 마포구 마포대로 197,02-363-1813
수도전기공업고등학교,서울시 강남구 개포로 410,070-4673-9907
광운초등학교,서울시 성북구 한천로 693,02-915-7312
김상하수학학원 ,서울시 중랑구 망우로 410,02-495-6555
상명중학교,서울시 노원구 덕릉로 553,02-971-9211
등현초등학교,서울시 강서구 화곡로65길  124,02-2658-7851
영락고등학교,서울시 관악구 청룡16길 25,02-886-5611
건원초등학교,서울시 송파구 양산로2길 26,02-3401-3906
상암초등학교,서울시 마포구 월드컵북로  353,02-375-8891
삼양초등학교,서울시 강북구 삼양로 49-17,02-987-8321
송곡여자고등학교 ,서울시 중랑구 양원역로  50,02-434-4598
영일고등학교,서울시 강서구 등촌로51가길 26,02-2653-8134
수유초등학교,서울시 강북구 삼양로 74-39,02-989-3724
코오롱싸이언스벨리1차,서울시 구로구 디지털로34길 43,02-2025-4582
JNK디지털타워,서울시 구로구 디지털로26길 111,02-6124-6114
영재어린이집,서울시 중랑구 상봉로11길 44-7,
한강성심병원,서울시 영등포구 버드나루로  55,02-2639-5114
홍익어린이집,서울시 은평구 은평터널로7길 3,
SBS공개홀,서울시 강서구 양천로  442,
상암중학교,서울시 마포구 상암산로1길 26,02-375-5300
한산중학교,서울시 강동구 풍성로 251,02-482-2157
중랑노인전문요양원,서울시 중랑구 양원역로 38,02-437-0144
공진중학교,서울시 강서구 양천로55길 56,02-3665-8673
우이새길병원,서울시 도봉구 삼양로  610,02-1577-1173
안강병원,서울시 강남구 논현로 323,02-1899-3210
세현고등학교,서울시 강서구 허준로  227,02-3663-1495
구로여자정보산업고등학교,서울시 구로구 오리로21길 2,02-2688-3515
경서중학교,서울시 강서구 양천로59길  31,02-2668-0304
국민연금관리공단,서울시 송파구 올림픽로35다길 13,1355
예일어린이집,서울시 광진구 자양로47길 11,02-452-7639
세일학원,서울시 노원구 상계로1길 34,02-932-3131
백토공원화장실,서울시 송파구 양재대로72길 47-8,
도림동주민센터,서울시 영등포구 도영로7길  10,02-2670-1454
아카데미웨딩홀,서울시 동작구 보라매로5가길 16,
에이스정형외과,서울시 강서구 화곡로  136,02-2601-1100
삼성도서관,서울시 강남구 봉은사로  616,02-568-9984
화곡4동주민자치센터,서울시 강서구 곰달래로57가길  26,02-2600-7635
대광중고등학교,서울시 동대문구 안암로 6,02-940-2212
아주디지털타워,서울시 성동구 아차산로5길  7,02-499-2323
국세청,서울시 종로구 종로5길 86,126
서라벌고등학교,서울시 노원구 한글비석로5길 18,02-2092-2274
송곡여자관광고등학교 ,서울시 중랑구 양원역로 50,02-432-1837
이앤씨드림타워,서울시 영등포구 선유로  146,02-2628-5090
진관고등학교,서울시 은평구 진관4로 26,02-358-0782
모커리한방병원,서울시 강남구 도곡로 216,02-1577-2575
21세기병원,서울시 서초구 서초중앙로  39,02-3477-0880
포근한노인전문 병원,서울시 강북구 도봉로 266,02-986-9988
욱현하이브(요양병원),서울시 노원구 노원로 246,02-949-3800
방배경찰서,서울시 서초구 방배천로 54,182
파트너스타워1,서울시 금천구 가산디지털1로  83,
서울병원,서울시 송파구 오금로36길 290,02-405-8501~6
하이마트 구로점,서울시 구로구 가마산로 277,02-861-6677
이마트 은평점,서울시 은평구 은평로 111,02-380-1234
강서농수산물도매시장,서울시 강서구 발산로  40,02-2640-8080
와우쇼핑몰,서울시 노원구 노해로 507,
워릭영어학원,서울시 송파구 위례성대로12길 13,02-423-5690
경기 여자고등학교,서울시 강남구 삼성로 29,02-573-6796
KT서초지사,서울시 서초구 효령로 176,080-258-1024
관악방송HCN동작방송,서울시 관악구 봉천로 386,1877-8080
누네안과병원,서울시 강남구 선릉로 404,02-1661-1175
월계문화정보도서관,서울시 노원구 월계로 319,02-991-0871
삼육대학교도서관,서울시 노원구 화랑로 815,02-3399-3636
아람어린이집,서울시 마포구 방울내로6길 4,
에이스하이엔드타워3차,서울시 금천구 가산디지털1로  145,
센터플러스,서울시 영등포구 경인로82길 3-4,02-2164-1566
솔브레인이엔지,서울시 금천구 가산로9길  78,02-3282-1900
용산청소년수련관,서울시 용산구 이촌로71길 24,02-749-0102
e-스페이스,서울시 구로구 디지털로27길 236,
리틀킹어린이집,서울시 강서구 강서로33가길 42,02-2698-8031
문덕일초등학교,서울시 송파구 송이로34길 60,02-409-9817
신상중학교,서울시 노원구 동일로216길 42,02-932-0595
한양대부속고등학교,서울시 성동구 살곶이2길 27-2,02-2200-3500
영도중학교,서울시 양천구 목동중앙남로 27,02-2643-0243
동성중학교 ,서울시 종로구 대학로 156,02-3671-9102
구암초등학교,서울시 관악구 구암길  1,02-871-6041
신남성초등학교,서울시 동작구 사당로 146,02-521-6268
현강여자정보고등학교,서울시 강동구 동남로 964,02-3427-7400
한영고등학교,서울시 강동구 동남로 832,02-426-2098
성심학원,서울시 영등포구 당산로  159,02-2675-9994(팩스)
휘문중학교(증축),서울시 강남구 역삼로 541,070-7090-0400
수명중학교,서울시 강서구 수명로2길  16,070-4060-8008
월광어린이집,서울시 동작구 사당로2가길 103,
중동초등학교,서울시 마포구 월드컵북로  152,02-373-4835
영서중학교,서울시 구로구 도림로20길  35,02-856-9567
금옥초등학교,서울시 성동구 독서당로 251,02-2297-2267
오류초등학교,서울시 구로구 경인로19길 39,02-2612-6412
메가MD로스쿨(청합빌딩),서울시 강남구 강남대로 364,02-584-2500
강현중학교,서울시 동작구 상도로13라길 22,02-815-8335
한국서울삼육중학교,서울시 노원구 화랑로 815,070-8677-3860
이지펠리스(한걸음병원),서울시 중랑구 망우로 316,02-493-9700
서울대법학강의동,서울시 관악구 관악로  1,02-880-7534
중암중학교,서울시 마포구 월드컵북로38길 25,02-309-5778
동부제일병원,서울시 중랑구 망우로 511,02-437-5011
명일초등학교,서울시 강동구 고덕로38길 8,02-441-5313
카톨릭대학교,서울시 종로구 창경궁로 296-12,02-740-9714
대진남자고등학교,서울시 노원구 공릉로62가길 47,02-976-0066
합격의 법학원,서울시 관악구 신림로  77,02-888-3300
한터어린이집,서울시 중랑구 면목로56가길 21,02-437-2672
효인병원,서울시 금천구 남부순환로  1372,02-867-7700
그리스도대학교(본관),서울시 강서구 까치산로24길 47,02-2600-2400
번3동우체국,서울시 강북구 한천로105길 27,02-985-3402 
동작보건소,서울시 동작구 장승배기로10길 42,02-820-1423
가온어린이집,서울시 은평구 서오릉로9길 18,
강서자동차운전면허시험장,서울시 강서구 남부순환로  171,1577-1120
행당초등학교,서울시 성동구 고산자로8길 6,02-2292-9434
에이스하이엔드타워,서울시 금천구 가산디지털1로  233,
강서IT밸리 아파트형 공장,서울시 강서구 화곡로68길 82,02-2615-1114
타워빌 (대일학원),서울시 강동구 진황도로  119,02-475-5757
잠신중학교,서울시 송파구 잠실로 12,02-415-9621
양동초등학교,서울시 양천구 오목로23길 24,02-2602-5101
㈜메가스터디(풍림빌딩),서울시 강남구 영동대로137길 6,02-568-3800
유현초등학교,서울시 강북구 인수봉로37길 24,02-985-3122
백상스타타워1차,서울시 금천구 디지털로9길 65,02-6000-7114
강동성모요양병원(신관),서울시 강동구 진황도로  122,02-488-0020
이너스치과병원,서울시 관악구 남부순환로 1710,02-888-2875
연세대학교 안이비인후과동,서울시 서대문구 연세로 50,02-2228-3421
강북삼성병원 본관,서울시 종로구 새문안로  29,02-2001-2001
오류2동 주민센터,서울시 구로구 오류로 45,02-2620-7550
청운효자동주민센터,서울시 종로구 자하문로 92,02-2148-5003
오륜동주민센터,서울시 송파구 양재대로 1232,02-2147-4240
삼양동우체국,서울시 강북구 삼양로 229,02-989-1001
정릉4동주민센터,서울시 성북구 보국문로  106-1,02-919-8205
김인권 성형외과(유덕빌딩),서울시 강남구 압구정로 443,
시티렉스(CT-LEX),서울시 금천구 시흥대로 399,02-809-7530
양천보건소,서울시 양천구 목동서로 339,02-2620-3912
서울중곡동우체국,서울시 광진구 긴고랑로 68,02-444-2005
화곡6동주민센터,서울시 강서구 화곡로 312,02-2600-7665
상도4동주민센터,서울시 동작구 성대로29길 53,02-823-0859
신정3동주민센터,서울시 양천구 중앙로 209,02-2620-4230
신대방1동주민센터,서울시 동작구 신대방길 72,02-832-6521
답십리2동주민센터,서울시 동대문구 한천로11길  18,02-2171-6246 
가락2동주민센터,서울시 송파구 중대로24길 6,02-2147-4480
서교초등학교,서울시 마포구 와우산로23길  20-27,02-3143-0673
경동초등학교,서울시 성동구 성수일로 34,02-469-2235
시립동부병원,서울시 동대문구 무학로 124,02-920-9341
고척초등학교,서울시 구로구 경서로 31,02-2618-6211
백운초,서울시 도봉구 삼양로146길 17,02-993-5727
응봉초등학교,서울시 성동구 독서당로62길  28,02-2281-0816
부암동주민센터,서울시 종로구 창의문로 145,02-2148-5095
서울사대 부속 초등학교,서울시 종로구 대학로 64,02-762-5250
용강중학교,서울시 용산구 이촌로65가길 91,02-795-6176
신아타운(병원),서울시 중랑구 봉화산로 194,02-3423-2275
양천초등학교,서울시 강서구 양천로 329,02-3663-0006
삼성미래여성병원,서울시 구로구 서해안로 2296,02-2682-2100
서울명수학교(별동),서울시 성북구 성북로31길 5-15,02-762-8049
서울자양초등학교,서울시 광진구 아차산로44길 26,02-457-1468
당중초등학교,서울시 영등포구 선유로  131,02-2633-1416
방화중학교,서울시 강서구 개화동로27길 9,02-2662-4452
은정초등학교,서울시 양천구 목동남로 85,02-2645-68710
번동초등학교,서울시 강북구 오현로 204,02-987-1863
독립문초등학교,서울시 종로구 통일로12길 23,02-737-4684
길동 주민센터,서울시 강동구 명일로 22-1,02-3425-7850
성산2동주민센터,서울시 마포구 월드컵북로30길 22,02-3153-6920
한남동우체국,서울시 용산구 대사관로 49,02-794-2205
동사무소어린이집,서울시 중구 동호로15길 50,
전쟁기념관(뮤지엄웨딩홀),서울시 용산구 이태원로  29,
신내2동관상복합청사,서울시 중랑구 봉화산로  190,02-2094-6600
해피데이사우나,서울시 광진구 자양로 38,
불암파출소,서울시 노원구 한글비석로 277,02-930-6119
