고유번호,시설명,담당구,주소,연락처,주출입구 접근로 여부,장애인 전용 주차구역 여부,주출입구 높이차이 제거 여부,장애인용 승강기 여부,장애인 화장실 여부,장애인용 객실 이용가능 여부,장애인용 관람석 이용가능 여부,장애인 매표소 여부,시각장애인 편의서비스 여부,청각장애인 편의서비스 여부,안내 서비스 여부,휠체어 대여 여부
5039,쉴 모텔(구 페리온),송파구,서울시 송파구 위례성대로2길 7,02-2420-1344,Y,N,Y,N,N,N,N,N,N,N,N,N
5103,유토피아,종로구,서울시 종로구 종로35길 10,02-747-8869,N,N,Y,N,N,N,N,N,N,N,N,N
5115,호텔리젠트,도봉구,서울시 도봉구 마들로11길  29,02-992-1455,Y,N,N,N,N,N,N,N,N,N,N,N
5056,알리앙스모텔,종로구,서울시 종로구 수표로22길  15,02-742-2211,Y,N,Y,N,N,N,N,N,N,N,N,N
5059,스카이모텔,종로구,서울시 종로구 수표로22길 5,02-765-9521,Y,N,N,N,N,N,N,N,N,N,N,N
5074,호텔이채,서대문구,서울시 서대문구 연세로2길 27-11,02-365-0801,Y,N,Y,N,N,N,N,N,N,N,N,N
5178,서교동 관광호텔 ,마포구,서울시 마포구 양화로  112,,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
4981,테마모텔,구로구,서울시 구로구 경인로22길 11,02-2616-9479,Y,Y,Y,N,N,N,N,N,N,N,N,N
5199,호텔Voll,강서구,서울시 강서구 강서로5나길  30,,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
5258,이태원 IP호텔,용산구,서울시 용산구 이태원로 221,02-3702-8000,Y,Y,Y,N,Y,N,N,N,N,N,N,N
5060,티모텔,종로구,서울시 종로구 수표로22길  20,,Y,N,N,N,N,N,N,N,N,N,N,N
5045,까펠레호텔,강동구,서울시 강동구 천호대로175길 14,02-477-3755,Y,N,N,N,N,N,N,N,N,N,N,N
5027,호텔 A-NA,강남구,서울시 강남구 언주로87길 41,02-508-8366,Y,N,Y,N,N,N,N,N,N,N,N,N
5036,씨에스타호텔,송파구,서울시 송파구 오금로11길  11-16,02-420-3652,Y,N,Y,N,N,N,N,N,N,N,N,N
5069,세종호텔,중구,서울시 중구 동호로 24,02-773-6000,Y,Y,Y,N,N,N,N,N,N,N,N,N
5219,퍼시픽호텔,중구,서울시 중구 퇴계로20길 2,02-777-7811,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
5008,바이올린모텔,관악구,서울시 관악구 남부순환로220길 31,02-885-4331,Y,N,Y,N,N,N,N,N,N,N,N,N
5183,투비인관광호텔,강동구,서울시 강동구 천중로42길 75,02-470-2851,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
5037,솔 모텔,송파구,서울시 송파구 오금로11길 55-16,02-420-2400,Y,N,Y,N,N,N,N,N,N,N,N,N
5053,썬비호텔,종로구,서울시 종로구 인사동7길 26,02-730-3451,Y,N,Y,N,N,N,N,N,N,N,N,N
5223,디아망호텔,강서구,서울시 강서구 남부순환로 190,02-2666-0157,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
5244,호텔프리마,강남구,서울시 강남구 도산대로 536,02-6006-9114,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
5202,프로비스타,서초구,서울시 서초구 서초대로 338,02-597-1140,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
5614,서울팔래스호텔,서초구,서울시 서초구 서초구 반포동 사평대로 160,,Y,N,Y,N,N,Y,N,N,N,N,N,N
5079,벤허호텔,영등포구,서울시 영등포구 국회대로72길 7,02-783-1666,Y,Y,Y,Y,N,Y,N,N,N,N,N,N
5064,임스하우스,종로구,서울시 종로구 율곡로10길 24,02-747-3332,Y,N,N,N,N,N,N,N,N,N,N,N
5135,서림장모텔,영등포구,서울시 영등포구 당산로33길  3,02-2677-3982,Y,N,Y,N,N,N,N,N,N,N,N,N
5075,보보호텔,마포구,서울시 마포구 양화로  94,02-324-0021,Y,N,Y,N,N,N,N,N,N,N,N,N
4977,드림텔호텔,강서구,서울시 강서구 공항대로46길  66,02-2601-1259,Y,N,N,N,N,N,N,N,N,N,N,N
4953,르네상스,성북구,서울시 성북구 동소문로20나길  39,02-921-2080,Y,Y,Y,N,N,N,N,N,N,N,N,N
5881,프라임 인 서울 호텔(구:서울레저관광호텔),은평구,서울시 은평구 불광동 302-13,,Y,N,N,Y,N,N,N,N,N,N,N,N
6005,테크노마트,광진구,서울시 광진구 광나루로56길 85 (구의동),,Y,Y,Y,N,Y,N,N,N,N,N,N,N
5598,라이프 스타일 호텔,영등포구,서울시 영등포구 영등포동1가 121-5,,Y,Y,Y,N,N,N,N,N,N,N,N,N
4951,메이관광호텔,중랑구,서울시 중랑구 망우로52길 28,02-493-1100,N,N,Y,N,N,N,N,N,N,N,N,N
5153,맨하탄 호텔,강남구,서울시 강남구 언주로89길 25,02-555-2981,Y,N,Y,N,N,N,N,N,N,N,N,N
4954,시네마호텔,성북구,서울시 성북구 아리랑로2길  11,02-927-3366,N,Y,Y,N,N,N,N,N,N,N,N,N
4958,호텔베르사유,도봉구,서울시 도봉구 마들로11길  35,02-998-9092,Y,N,Y,N,N,N,N,N,N,N,N,N
4964,오렌지카운티,서대문구,서울시 서대문구 연세로2길 49,02-313-8718,Y,N,Y,N,N,N,N,N,N,N,N,N
5066,고궁호텔,종로구,서울시 종로구 율곡로 164,02-741-3831,Y,N,Y,N,N,N,N,N,N,N,N,N
5145,NINETH 호텔,서초구,서울시 서초구 반포대로14길 51,02-3473-0789,Y,N,Y,N,N,N,N,N,N,N,N,N
5073,뉴캐슬 모텔,강북구,서울시 강북구 노해로8길 1,02-903-2708,Y,N,N,N,N,N,N,N,N,N,N,N
5084,IMI호텔,강남구,서울시 강남구 테헤란로79길 11,02-3453-4303,Y,N,Y,N,N,N,N,N,N,N,N,N
5088,렉시호텔,강남구,서울시 강남구 테헤란로37길  13-11,02-554-5559,Y,N,Y,N,N,N,N,N,N,N,N,N
5099,누누모텔,종로구,서울시 종로구 수표로22길 6,02-766-2121,Y,N,N,N,N,N,N,N,N,N,N,N
5151,M.BIZ호텔,강남구,서울시 강남구 테헤란로77길 12,02-539-1722,Y,N,N,N,N,N,N,N,N,N,N,N
5165,라자 호텔,송파구,서울시 송파구 오금로11길 11-21,02-412-5001,Y,N,Y,N,N,N,N,N,N,N,N,N
5197,노스탈자호텔,강서구,서울시 강서구 화곡로 354-3,02-2691-0075,Y,Y,Y,Y,N,N,N,N,N,N,N,N
4989,코보스호텔,영등포구,서울시 영등포구 국회대로72길 9,02-782-9092,Y,N,Y,N,N,N,N,N,N,N,N,N
4997,영화호텔,영등포구,서울시 영등포구 영중로4길  9,02-2678-4641,Y,N,Y,N,N,N,N,N,N,N,N,N
5002,메트로21,관악구,서울시 관악구 승방2길 7,070-4210-1168,Y,N,Y,N,N,N,N,N,N,N,N,N
5006,SHOW모텔,관악구,서울시 관악구 신림로66길 30,02-882-9015,Y,N,Y,N,N,N,N,N,N,N,N,N
5205,팰리스호털,서초구,서울시 서초구 사평대로  160,02-532-5000,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
5261,녹스호텔,강남구,서울시 강남구 테헤란로37길 13-13,02-3454-1888,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
5256,가야호텔,용산구,서울시 용산구 한강대로 253,02-798-5102,Y,Y,Y,N,Y,N,N,N,N,N,N,N
5999,베스트웨스턴호텔나이아가라,강서구,서울시 강서구 염창동 259-2,,Y,Y,Y,Y,N,Y,N,N,N,N,N,N
5617,호텔비전,성동구,서울시 성동구 도선동 2,,N,Y,N,N,N,N,N,N,N,N,N,N
5950,문화역서울 284 (옛 서울역사),중구,서울시 중구 통일로 1번지 (봉래동 2가 122-28),,Y,N,Y,Y,N,N,N,N,N,N,N,N
5190,코리아관광호텔,강동구,서울시 강동구 성안로 121,02-487-7997,Y,Y,Y,Y,N,N,N,N,N,N,N,N
4962,시안모텔,은평구,서울시 은평구 진흥로  169,02-356-7615,Y,N,Y,N,N,N,N,N,N,N,N,N
5086,호텔캣츠,종로구,서울시 종로구 수표로26길 9-1,02-764-1233,N,N,Y,N,N,N,N,N,N,N,N,N
5148,스카이 호텔,강남구,서울시 강남구 언주로89길 25,,Y,N,Y,N,N,N,N,N,N,N,N,N
5171,그리스(구 스카이),송파구,서울시 송파구 오금로11길 63-11,02-2416-1610,Y,N,Y,N,N,N,N,N,N,N,N,N
5163,실론 호텔,송파구,서울시 송파구 오금로11길 11-11,02-423-0510,Y,N,Y,N,N,N,N,N,N,N,N,N
5240,아모렉스 관광호텔,성동구,서울시 성동구 왕십리로20길 19,02-2292-7634,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
5194,뉴리젠트호텔,강서구,서울시 강서구 화곡로  342,02-2605-2525,Y,Y,Y,Y,N,N,N,N,N,N,N,N
5007,보보스모텔,관악구,서울시 관악구 관악로13길 8,02-871-2332,Y,N,Y,N,N,N,N,N,N,N,N,N
5209,라마다 서울 동대문,중구,서울시 중구 동호로 354,02-2276-3500,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
4950,노블레스,동대문구,서울시 동대문구 장한로2길 48,02-2248-9100,Y,N,Y,N,N,N,N,N,N,N,N,N
4961,cs모텔,은평구,서울시 은평구 진흥로 183,,Y,N,N,N,N,N,N,N,N,N,N,N
5109,비브호텔,동대문구,서울시 동대문구 장한로 84,,Y,N,Y,N,N,N,N,N,N,N,N,N
5120,유양호텔,마포구,서울시 마포구 잔다리로 67,02-334-2404,N,N,Y,N,N,N,N,N,N,N,N,N
5127,호텔테마,강서구,서울시 강서구 화곡로  176-16,02-2695-6233,Y,N,N,N,N,N,N,N,N,N,N,N
5090,캐피탈호텔,용산구,서울시 용산구 장문로 23,02-6399-2000,Y,N,N,N,N,N,N,N,N,N,N,N
5092,렉스모텔,강동구,서울시 강동구 천중로42길 68,,N,N,N,N,N,N,N,N,N,N,N,N
5094,큐브 호텔,종로구,서울시 종로구 삼일대로 388-7,02-2268-2959,Y,N,Y,N,N,N,N,N,N,N,N,N
5083,쟈스민,서초구,서울시 서초구 효령로55길 59,02-523-1766,Y,N,Y,N,N,N,N,N,N,N,N,N
5095,몽호텔,종로구,서울시 종로구 종로16길 28,02-2267-4190,Y,N,Y,N,N,N,N,N,N,N,N,N
5097,호텔스타,종로구,서울시 종로구 돈화문로9길 29,02-743-2266,Y,N,Y,N,N,N,N,N,N,N,N,N
5229,베스트웨스턴 프리미어 강남관광호텔,강남구,서울시 강남구 봉은사로 139,02-6474-2000,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
5057,아마레호텔,종로구,서울시 종로구 수표로22길  7,02-747-0566,Y,N,Y,N,N,N,N,N,N,N,N,N
5080,필름오스카모텔,영등포구,서울시 영등포구 영중로10길 45,02-2675-5599,Y,N,Y,N,N,N,N,N,N,N,N,N
5108,윈저모텔,성동구,서울시 성동구 왕십리로20길 10,02-2299-2668,Y,Y,Y,N,N,N,N,N,N,N,N,N
5117,릿츠호텔,노원구,서울시 노원구 노해로75길 20-7,02-2091-0016,N,Y,Y,N,N,N,N,N,N,N,N,N
5132,팰리스파크,금천구,서울시 금천구 디지털로 208-8,02-856-7197,Y,N,N,N,N,N,N,N,N,N,N,N
5140,M모텔,관악구,서울시 관악구 남부순환로 208-27,,N,N,Y,N,N,N,N,N,N,N,N,N
5049,쉴모텔,강동구,서울시 강동구 올림픽로70길 56-5,02-478-5522,Y,N,N,N,N,N,N,N,N,N,N,N
5050,어거스트모텔,강동구,서울시 강동구 구천면로24길 13,,N,N,N,N,N,N,N,N,N,N,N,N
5014,아트호텔,서초구,서울시 서초구 효령로53길 53,02-584-6701,Y,N,Y,N,N,N,N,N,N,N,N,N
5015,호텔비발디,서초구,서울시 서초구 효령로79길 28,,Y,N,N,N,N,N,N,N,N,N,N,N
5023,썬 호텔,강남구,서울시 강남구 언주로87길 6,,Y,N,Y,N,N,N,N,N,N,N,N,N
5032,샹그리아 모텔,강남구,서울시 강남구 선릉로90길 46,02-539-8151,Y,N,Y,N,N,N,N,N,N,N,N,N
5119,신촌모텔(D모텔),서대문구,서울시 서대문구 연세로2길 13,02-313-6872,N,N,Y,N,N,N,N,N,N,N,N,N
5114,호텔론스타,도봉구,서울시 도봉구 마들로11길 37,02-992-6969,Y,N,Y,N,N,N,N,N,N,N,N,N
5129,피아노모텔,구로구,서울시 구로구 경인로22길 17,02-2685-5036,Y,Y,Y,N,N,N,N,N,N,N,N,N
5215,벨라지오 관광호텔,은평구,서울시 은평구 진흥로 205,02-354-0990,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
5146,영동관광호텔,강남구,서울시 강남구 테헤란로2길 15,02-542-0112,Y,N,N,N,N,N,N,N,N,N,N,N
5150,호텔 발리,강남구,서울시 강남구 테헤란로38길 7,02-508-5059,Y,N,Y,N,N,N,N,N,N,N,N,N
5251,프레이저플레이스센트럴서울,중구,서울시 중구 통일로 78,02-2220-8000,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
5265,워커힐호텔 아카디아,광진구,서울시 광진구 워커힐로 177,02-455-5000,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
5024,M호텔,강남구,서울시 강남구 선릉로92길 37-5,02-564-3220,Y,N,Y,N,N,N,N,N,N,N,N,N
5031,초코렛 호텔(구 베르사유 모텔),강남구,서울시 강남구 선릉로100길  52,02-561-2627,Y,N,Y,N,N,N,N,N,N,N,N,N
5034,히노스모텔,송파구,서울시 송파구 오금로11길 21-7,02-413-6160,Y,N,Y,N,N,N,N,N,N,N,N,N
5044,프리마호텔(리치호텔),강동구,서울시 강동구 천중로42길  78,02-489-4682,N,N,Y,N,N,N,N,N,N,N,N,N
5147,꾸띠호텔,강남구,서울시 강남구 테헤란로25길  6-13,02-567-5515,Y,N,Y,N,N,N,N,N,N,N,N,N
5157,호텔 BNN,강남구,서울시 강남구 테헤란로33길 6-11,02-555-7072,Y,N,Y,N,N,N,N,N,N,N,N,N
5173,로보그라드모텔,송파구,서울시 송파구 백제고분로7길 15-10,02-416-2316,Y,N,Y,N,N,N,N,N,N,N,N,N
5021,SM호텔,강남구,서울시 강남구 선릉로90길 48,02-562-3362,Y,N,Y,N,N,N,N,N,N,N,N,N
5035,싼타페호텔,송파구,서울시 송파구 오금로11길 23-18,02-425-7199,Y,N,Y,N,N,N,N,N,N,N,N,N
5241,경남관광호텔,동대문구,서울시 동대문구 장한로 110,02-2247-2500,N,Y,Y,N,N,N,N,N,N,N,N,N
4970,에스호텔(갤러리모텔),마포구,서울시 마포구 서강로 128,02-717-5003,Y,N,Y,N,N,N,N,N,N,N,N,N
5218,호텔엘루이,강남구,서울시 강남구 도산대로 551,02-514-3535,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
5136,렉서스모텔,영등포구,서울시 영등포구 경인로 888,,Y,N,Y,N,N,N,N,N,N,N,N,N
5144,첼로가든,서초구,서울시 서초구 효령로53길 35,,Y,N,Y,N,N,N,N,N,N,N,N,N
5154,호텔 맥스,강남구,서울시 강남구 테헤란로78길 14-16,02-558-3182,Y,N,Y,N,N,N,N,N,N,N,N,N
5948,서울글로벌문화관광센터,중구,서울시 중구 명동8길 27 엠플라자 5층,,Y,N,Y,Y,N,N,N,N,N,N,N,N
5951,독일문화원,중구,서울시 중구 남대문로5가 541번지 5층,,N,N,N,N,N,N,N,N,N,N,N,N
5001,칼튼모텔,영등포구,서울시 영등포구 영중로10길  10,02-2678-2670,Y,N,Y,N,N,N,N,N,N,N,N,N
5789,베스트웨스턴 서울 가든 호텔,마포구,서울시 마포구 마포대로 58,,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N
5252,프레지던트호텔,중구,서울시 중구 을지로 16,02-753-3131,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
5253,아카시아호텔,중구,서울시 중구 동호로 360,02-2277-4917,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
5238,홀리데이인서울성북,성북구,서울시 성북구 종암로 123,02-929-2000,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
5763,미디어 폴,강남구,서울시 강남구 테헤란로 101 (이즈타워),,N,N,N,Y,N,N,N,N,N,N,N,N
5994,호텔 에어포트 김포,강서구,서울시 강서구 공항동 11-21,,Y,Y,N,N,N,N,N,N,N,N,N,N
5160,루이체,송파구,서울시 송파구 오금로11길 21-6,02-3431-7849,Y,N,Y,N,N,N,N,N,N,N,N,N
5175,Uni모텔,강동구,서울시 강동구 구천면로24길 19,02-476-5575,Y,N,Y,N,N,N,N,N,N,N,N,N
5594,여의도 호텔,영등포구,서울시 영등포구 여의도동 10-3,,N,Y,N,N,N,N,N,N,N,N,N,N
5990,베스트 웨스턴 프리머어 그린 파크,강북구,서울시 강북구 수유4동 산 14-3번지,,N,N,N,N,N,N,N,N,N,N,N,N
4923,그랜드하얏트호텔,용산구,서울시 용산구 소월로 322,02-797-1234,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
5992,호텔 노스텔지아,강서구,서울시 강서구 화곡6동 1110,,N,Y,N,N,N,N,N,N,N,N,N,N
4959,W호텔,노원구,서울시 노원구 화랑로 445,02-975-1911,Y,N,Y,N,N,N,N,N,N,N,N,N
5185,캘리포니아관광호텔,송파구,서울시 송파구 송파대로28길 11,02-401-4763,Y,Y,N,Y,N,N,N,N,N,N,N,N
5778,씨네 드 쉐프,강남구,서울시 강남구 신사동 602 CGV압구정 신관 지하 5층,,Y,Y,Y,N,N,N,N,N,N,N,N,N
5759,이스탄불문화원,강남구,서울시 강남구 역삼1동 629-6,,N,N,N,N,N,N,N,N,N,N,N,N
5131,호텔야자,구로구,서울시 구로구 경인로20나길 44,02-2681-5512,Y,Y,Y,N,N,N,N,N,N,N,N,N
5141,포도모텔,관악구,서울시 관악구 신림로64길  16,02-886-3801,Y,N,Y,N,N,N,N,N,N,N,N,N
5070,호텔엘르인,용산구,서울시 용산구 한강대로71길 24,02-792-8700,Y,N,Y,N,N,N,N,N,N,N,N,N
5234,렉스관광호텔,강남구,서울시 강남구 강남대로 588,02-511-4488,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
5087,호텔 베리식스,강남구,서울시 강남구 논현로87길 17,02-508-3002,Y,N,Y,N,N,N,N,N,N,N,N,N
5077,오아시스,구로구,서울시 구로구 디지털로32길 97-10,02-853-2520,Y,Y,Y,N,N,N,N,N,N,N,N,N
5726,DMC 홍보관,마포구,서울시 마포구 월드컵북로 366,,Y,N,Y,N,N,N,N,N,N,N,N,N
5842,삼성 딜라이트,서초구,서울시 서초구 서초2동1320-10,,Y,N,Y,Y,Y,N,N,N,N,N,N,N
5198,호텔 다아너스티,강남구,서울시 강남구 봉은사로 125,02-540-3041,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
5249,센터마크 호텔 ,종로구,서울시 종로구 인사동5길 38,02-731-1000,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
5040,폼 모텔,송파구,서울시 송파구 백제고분로7길 7-13,02-420-0855,Y,N,Y,N,N,N,N,N,N,N,N,N
5047,아비송모텔,강동구,서울시 강동구 구천면로24길 28,,N,N,Y,N,N,N,N,N,N,N,N,N
5134,발렌타인,금천구,서울시 금천구 시흥대로105길 8,02-895-8880,N,N,Y,N,N,N,N,N,N,N,N,N
5137,렉스빌모텔,영등포구,서울시 영등포구 영중로4길  40,02-2635-3366,Y,N,Y,N,N,N,N,N,N,N,N,N
5853,스페이스 씨,강남구,서울시 강남구 신사동 627-8 스페이스씨,,Y,Y,Y,Y,N,N,N,N,N,N,N,N
5721,뉴부림관광호텔,동대문구,서울시 동대문구 전농동 620-27,,N,N,N,N,N,N,N,N,N,N,N,N
5949,서울애니메이션센터,중구,서울시 중구 소파로 126 (예장동 8-145번지),,Y,Y,Y,N,N,N,N,N,N,N,N,N
5012,IMT호텔,서초구,서울시 서초구 반포대로14길 35-9,,Y,N,Y,N,N,N,N,N,N,N,N,N
5041,로즈마리,송파구,서울시 송파구 올림픽로12길 5-29,02-425-1457,Y,N,Y,N,N,N,N,N,N,N,N,N
5118,렉시호텔,서대문구,서울시 서대문구 연세로2가길 14,02-363-4700,Y,N,Y,N,N,N,N,N,N,N,N,N
5123,Y모텔 ,마포구,서울시 마포구 서강로20길 24,02-1661-1055,Y,N,Y,N,N,N,N,N,N,N,N,N
4978,백제산장,강서구,서울시 강서구 화곡로44가길 39,02-2608-8734,Y,N,Y,N,N,N,N,N,N,N,N,N
5005,볼륨모텔,관악구,서울시 관악구 신림로64길  34,02-878-8877,N,N,N,N,N,N,N,N,N,N,N,N
5191,JJ호텔,성동구,서울시 성동구 자동차시장1길 29,02-2245-3355,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
5179,가락관광호텔,송파구,서울시 송파구 송파대로28길 5,02-400-6641,Y,Y,N,Y,N,N,N,N,N,N,N,N
5162,와우호텔,송파구,서울시 송파구 오금로11길 7-10,02-415-2550,Y,N,Y,N,N,N,N,N,N,N,N,N
5184,MIND관광호텔,금천구,서울시 금천구 남부순환로 1262,02-839-1222,Y,Y,Y,Y,N,N,N,N,N,N,N,N
5186,글로리아(피아노)모텔,서대문구,서울시 서대문구 연세로2길 101-10,02-312-6994,Y,Y,N,Y,N,N,N,N,N,N,N,N
5201,워커힐호텔 신관호텔,광진구,서울시 광진구 워커힐로 177,02-465-2222,Y,Y,Y,Y,N,N,N,N,N,N,N,N
4973,크로싱호텔,강서구,서울시 강서구 곰달래로24길 36,02-2699-9116,Y,N,Y,N,N,N,N,N,N,N,N,N
4976,NYX  HOTEL,강서구,서울시 강서구 월정로20길 19,,N,N,Y,N,N,N,N,N,N,N,N,N
4994,맥스모텔,영등포구,서울시 영등포구 영중로10길  18,02-2678-0713,Y,N,Y,N,N,N,N,N,N,N,N,N
5207,웨스턴조선호텔,중구,서울시 중구 소공로 106,02-771-0500,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
5072,R호텔,성북구,서울시 성북구 동소문로  109-14,02-923-2900,Y,N,Y,N,N,N,N,N,N,N,N,N
5076,홀릭호텔,강서구,서울시 강서구 화곡로  248-8,02-2602-0055,Y,N,N,N,N,N,N,N,N,N,N,N
5875,이탈리아문화원,용산구,서울시 용산구 한남동 714 일신 B/D 3층,,N,Y,Y,Y,N,N,N,N,N,N,N,N
5245,호텔리베라서울,강남구,서울시 강남구 영동대로 737,02-541-3111,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
5170,갤러리 호텔,송파구,서울시 송파구 올림픽로34길 9-12,02-3431-6988,Y,N,Y,N,N,N,N,N,N,N,N,N
5595,호텔코보스 여의도,영등포구,서울시 영등포구 여의도동 13-12,,N,Y,Y,N,N,N,N,N,N,N,N,N
5915,아트 스페이스 풀,종로구,서울시 종로구 구기동 56-13,,N,N,N,N,N,N,N,N,N,N,N,N
5916,중국문화원,종로구,서울시 종로구 내자동 200번지,,Y,N,Y,N,N,N,N,N,N,N,N,N
5613,센트로호텔,서초구,서울시 서초구 서초동 1594-3,,Y,N,Y,N,N,Y,N,N,N,N,N,N
5618,아모렉스 호텔,성동구,서울시 성동구 도선동 72,,N,Y,Y,Y,N,N,N,N,N,N,N,N
5020,캘리포니아 호텔,강남구,서울시 강남구 선릉로100길 56,02-555-0027,Y,N,Y,N,N,N,N,N,N,N,N,N
5996,호텔그린월드,강서구,서울시 강서구 등촌동 505-23,,Y,Y,Y,Y,N,N,N,N,N,N,N,N
5753,강남관광정보센터,강남구,서울시 강남구 압구정동 428,,Y,N,Y,N,Y,N,N,N,N,N,N,N
5873,e-스포츠 스타디움,용산구,서울시 용산구 한강로3가 40-999,,Y,Y,Y,Y,N,N,N,N,N,N,N,N
5919,SK텔레콤 티움,중구,서울시 중구 을지로2가 11 SK텔레콤빌딩,,N,N,N,N,N,N,N,N,N,N,N,N
5228,플라워관광호텔,동대문구,서울시 동대문구 왕산로 269,02-962-8251,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
5133,에펠준모텔,금천구,서울시 금천구 디지털로11길 14,02-852-8883,N,N,Y,N,N,N,N,N,N,N,N,N
5116,팰리스모텔,노원구,서울시 노원구 상계로 26,02-935-0066,Y,Y,N,N,N,N,N,N,N,N,N,N
5100,꾸띠호텔,종로구,서울시 종로구 수표로26길  10,02-742-8238,N,N,N,N,N,N,N,N,N,N,N,N
