고유번호,시설명,담당구,주소,연락처,홈페이지,추천수,주출입구 접근로 여부,장애인 전용 주차구역 여부,주출입구 높이차이 제거 여부,장애인용 승강기 여부,장애인 화장실 여부,장애인용 객실 이용가능 여부,장애인용 관람석 이용가능 여부,장애인 매표소 여부,시각장애인 편의서비스 여부,청각장애인 편의서비스 여부,안내 서비스 여부,휠체어 대여 여부
3358,금옥여자고등학교,양천구,서울시 양천구 신정로 213,02-2086-7507,www.geumok.hs.kr,0,Y,N,Y,N,Y,N,N,N,N,N,N,N
2632,서울월곡초등학교,성북구,서울시 성북구 장월로3길 42,02-943-6055,www.swg.es.kr/,0,Y,N,Y,N,N,N,N,N,N,N,N,N
2959,전곡초등학교,동대문구,서울시 동대문구 전농로 172,02-2242-6548,www.jeongok.es.kr,0,Y,N,Y,Y,Y,N,N,N,N,N,N,N
3749,이튼학원,노원구,서울시 노원구 중계로 217,02-931-3303,,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
3742,기성학원,중랑구,서울시 중랑구 신내로 62,,,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
3755,중원코아빌딩(학원),노원구,서울시 노원구 동일로 1396,02-938-4355,,0,Y,N,Y,Y,N,N,N,N,N,N,N,N
3760,한앎학원,은평구,서울시 은평구 연서로 161,,,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
3770,정원유치원(제이엠어학원으로변경),송파구,서울시 송파구 백제고분로 36길-28,02-416-4003,,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N
3747,열강학원,양천구,서울시 양천구 신목로 34,02-2655-0603,,0,Y,N,Y,N,Y,N,N,N,N,N,N,N
3392,용화여자고등학교,노원구,서울시 노원구 동일로 1461,02-950-3522,www.yonghwa.hs.kr,0,Y,Y,N,Y,N,N,N,N,N,N,N,N
4739,신당2동주민센터,중구,서울시 중구 동호로15길 50,02-3396-6740,,0,Y,N,Y,N,Y,N,N,N,N,N,N,N
4743,용산구청,용산구,서울시 용산구 녹사평대로 150,02-2199-6114,http://www.yongsan.go.kr/,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N
5401,마리오타워,구로구,서울시 구로구 디지털로30길 28,02-853-8063,,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N
5408,필동공영주차장,중구,서울시 중구 필동로 55,,,0,Y,Y,Y,N,N,N,N,N,N,N,N,N
3403,휘경공업고등학교,동대문구,서울시 동대문구 겸재로 21,02-2216-3643,http://www.hgt.hs.kr/,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
3407,누원고,도봉구,서울시 도봉구 마들로 849,02-3492-7594,http://www.noowon.hs.kr/,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
3055,동양중학교,동작구,서울시 동작구 흑석로9길 94,02-814-9651,www.dongyang.ms.kr,0,Y,Y,Y,N,N,Y,N,N,N,N,N,N
3058,화계중학교,강북구,서울시 강북구 화계사길 63,02-986-3072,www.hwagye.ms.kr,0,Y,N,Y,N,N,N,N,N,N,N,N,N
3060,상계제일중학교,노원구,서울시 노원구 덕릉로86길 29-15,02-930-3543,www.sanggyejeil.mg.kr,0,Y,Y,Y,Y,N,N,N,N,N,N,N,N
2884,목원초등학교,양천구,서울시 양천구 목동중앙로 204,02-2643-5771,www.mokwon.ne.kr/,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N
3495,용문 상담심리대학원,종로구,서울시 종로구 율곡로 154,02-763-7448,http://yongmoon.ac.kr/,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
2493,백상유치원,금천구,서울시 금천구 탑골로3길 50,02-806-5616,,0,N,Y,Y,N,N,N,N,N,N,N,N,N
5522,뉴타운장례식장,성북구,서울시 성북구 종암로 199,02-909-4444,,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
4751,방학3동주민센터,도봉구,서울시 도봉구 시루봉로   94,02-2289-1507,,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
5292,디지털엠파이어,금천구,서울시 금천구 범안로  1130,,,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N
2779,세곡초등학교,구로구,서울시 구로구 고척로33길 34,02-2613-5276,www.segok.es.kr,0,Y,N,Y,N,Y,N,N,N,N,N,N,N
2507,성심유치원,송파구,서울시 송파구 백제고분로39길  25-16,02-418-3889,,0,Y,Y,Y,N,N,N,N,N,N,N,N,N
2514,경동유치원,성동구,서울시 성동구 금호로 100,02-2298-2277,www.kdchild.com,0,Y,N,Y,N,N,N,N,N,N,N,N,N
2528,우일유치원,강서구,서울시 강서구 곰달래로47길 88,02-2602-4026,,0,Y,Y,N,N,N,N,N,N,N,N,N,N
5330,SJ 테크노빌,금천구,서울시 금천구 벚꽃로  278,,,0,Y,Y,Y,N,Y,Y,N,N,N,N,N,N
4798,서대문구청,서대문구,서울시 서대문구 연희로 248,02-330-1114,http://www.seodaemun.seoul.kr/,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
5346,신한이노플렉스,금천구,서울시 금천구 가산디지털1로  149,,,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N
4802,경찰청사,서대문구,서울시 서대문구 통일로  97,,,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
2951,영등포초등학교,영등포구,서울시 영등포구 경인로88길  10,02-2633-6544,www.ydp.es.kr/,0,Y,Y,Y,N,N,N,N,N,N,N,N,N
3637,RID ENGLISH ACADEMY,강남구,서울시 강남구 도곡로 157,02-571-2185,http://www.riskinder.org/,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
3648,송파스카이에듀학원,송파구,서울시 송파구 백제고분로  498,02-414-3370,http://songpa.skyedu.com/,0,Y,Y,N,N,N,N,N,N,N,N,N,N
3172,노곡중,도봉구,서울시 도봉구 노해로70길 95,02-996-5232,www.nogok.ms.kr,1,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
2613,면북초등학교,중랑구,서울시 중랑구 용마공원로5길 32,02-433-3338,www.myeonbuk.es.kr/,0,Y,Y,N,Y,Y,N,N,N,N,N,N,N
4777,강북우체국,강북구,서울시 강북구 솔매로50길 55,02-989-4770,,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N
3225,배명중고등학교,송파구,서울시 송파구 삼학사로 11,02-414-5820,www.bm.ms.kr/,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N
3286,용산고등학교,용산구,서울시 용산구 두텁바위로 60,02-3706-6700,http://www.yongsan.hs.kr/,0,Y,Y,N,N,Y,N,N,N,N,N,N,N
3290,덕성여자 고등학교,종로구,서울시 종로구 율곡로3길 50,02-734-6871,http://www.duksung.hs.kr/,0,N,N,N,N,N,N,N,N,N,N,N,N
2718,한남초등학교,용산구,서울시 용산구 한남대로 112,02-749-2371,www.hannam.es.kr,0,Y,N,Y,N,Y,N,N,N,N,N,N,N
3302,미림학원(미림전산고교),관악구,서울시 관악구 호암로  546,02-872-4072,www.e-mirim.hs.kr,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N
2454,한빛맹학교,강북구,서울시 강북구 삼양로73가길 47,02-989-9135,www.hanbit.sc.kr/,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
2451,교남학교,강서구,서울시 강서구 까치산로22길 38,02-2607-2456,www.kyonam.sc.kr/,0,Y,N,Y,Y,Y,N,N,N,N,N,N,N
2463,예일유치원,강서구,서울시 강서구 강서로47길 126,02-2667-6767,,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
3543,연세대학교 첨단과학기술연구관,서대문구,서울시 서대문구 연세로 50,02-1599-1885,www.yonsei.ac.kr,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
2763,개화초등학교,강서구,서울시 강서구 양천로 11,02-2662-0492,www.gaehwa.es.kr,0,Y,Y,Y,N,N,N,N,N,N,N,N,N
2839,서울홍은초등학교,서대문구,서울시 서대문구 세검정로  105,02-391-2196,www.hongeun.es.kr/,0,N,Y,Y,Y,Y,N,N,N,N,N,N,N
3070,대신중학교(신관),종로구,서울시 종로구 사직로 9,02-736-0317,www.dae-shin.ms.kr,0,Y,N,Y,Y,N,Y,N,N,N,N,N,N
3610,송파이투스학원,송파구,서울시 송파구 위례성대로 74,02-2202-0961,,0,Y,Y,N,Y,N,N,N,N,N,N,N,N
2574,성동초등학교,광진구,서울시 광진구 자양로4길 63,02-447-2642,www.sungdong.es.kr,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
1701,신촌성결교회 본당(증축),마포구,서울시 마포구 신촌로12길  11,,,0,Y,Y,Y,N,N,N,N,N,N,N,N,N
917,본앤본정형외과,강서구,서울시 강서구 공항대로43길 123,02-3663-9209,http://www.boneclinic.kr/,0,Y,N,Y,Y,N,N,N,N,N,N,N,N
2151,이대목동병원 병원동,양천구,서울시 양천구 안양천로 1071,02-2650-5114,www.eumc.ac.kr/mokdong/,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N
2177,미즈메디병원,강서구,서울시 강서구 강서로47가길  19,02-1588-2701,www.mizmedi.com/wweb/main.asp,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
3264,노원고등학교,노원구,서울시 노원구 노원로 586,02-937-0078,http://nowon.hs.kr/,0,Y,Y,N,Y,Y,N,N,N,N,N,N,N
2206,나누리병원,강서구,서울시 강서구 가로공원로  187,02-1688-9797,www.nanoori.co.kr/,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
2209,길동노인요양병원(동화빌딩 45층),강동구,서울시 강동구 천호대로  1165,02-483-6400,www.happy-care.co.kr,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
5428,대림2동 공영주차장,영등포구,서울시 영등포구 디지털로37나길 21,,,0,Y,Y,Y,N,N,N,N,N,N,N,N,N
4711,양천우체국,양천구,서울시 양천구 목동서로 117,02-2646-0014,http://www.koreapost.go.kr/se/158,0,Y,Y,Y,Y,N,N,N,N,N,N,N,N
258,신정4동주민센터,양천구,서울시 양천구 은행정로11가길 8,02-2620-4250,http://www.yangcheon.go.kr/dong/dong0010/dongCenter/main.do,0,Y,Y,Y,N,N,N,N,N,N,N,N,N
1992,청량리교회,동대문구,서울시 동대문구 황물로 15,,,0,Y,Y,Y,N,N,N,N,N,N,N,N,N
1693,대광교회,동대문구,서울시 동대문구 한천로41길 11,,,0,Y,N,N,N,N,N,N,N,N,N,N,N
1695,대한불교조계종미아사,강북구,서울시 강북구 삼양로27길  61-10,,,0,Y,Y,Y,N,N,N,N,N,N,N,N,N
5882,한국불교역사문화기념관,종로구,서울시 종로구 견지동 45,,,0,Y,Y,Y,Y,N,N,Y,N,N,N,N,N
5883,실험극장 반줄,종로구,서울시 종로구 관철동 12-16,,,0,N,N,N,N,N,N,N,N,N,N,N,N
605,창1동치안센터,도봉구,서울시 도봉구 해등로 45,,,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N
1636,시온산교회,금천구,서울시 금천구 독산로  154,,,0,Y,N,Y,N,N,N,N,N,N,N,N,N
1663,염리동성당,마포구,서울시 마포구 마포대로11가길  28,,,0,Y,Y,Y,N,N,N,N,N,N,N,N,N
1670,능원사,도봉구,서울시 도봉구 도봉산길 87,,,1,N,Y,N,N,N,N,N,N,N,N,N,N
5872,남산도서관,용산구,서울시 용산구 후암동 30-84,,,0,Y,N,Y,N,N,N,N,N,N,N,N,N
3108,한성여자중학교,성북구,서울시 성북구 삼선교로16길  116,02-742-2542,http://www.hansunggm.net/,0,N,Y,Y,N,Y,N,N,N,N,N,N,N
3363,양천고등학교,양천구,서울시 양천구 신정로14길 13,02-2605-5997,http://www.yangcheoncschool.net/,0,Y,N,Y,N,Y,N,N,N,N,N,N,N
3368,현대고등학교,강남구,서울시 강남구 압구정로 127,02-546-6323,www.hyundai.hs.kr,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
3375,서울공업고등학교,동작구,서울시 동작구 대방동1길 46,070-8640-3125,www.seoul-th.hs.kr,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
3754,정상어학원,송파구,서울시 송파구 양재대로71길 1-14,02-417-0880,,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
2557,서울안산초등학교,서대문구,서울시 서대문구 통일로 321,02-737-4265,www.ansan.es.kr/,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
4744,용산우체국,용산구,서울시 용산구 한강대로 118,02-797-0004,,0,Y,Y,Y,N,N,N,N,N,N,N,N,N
2913,서울연가초등학교,서대문구,서울시 서대문구 증가로12가길 49-50,02-372-3044,www.yeonga.es.kr/,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N
3575,중앙학원,서초구,서울시 서초구 서초대로56길  27,02-583-0125,www.knteacher.com,0,Y,Y,Y,Y,N,N,N,N,N,N,N,N
3234,덕원중학교,강서구,서울시 강서구 강서로45길  91-44,02-2660-7955,www.deokwon.ms.kr,0,N,N,N,N,N,N,N,N,N,N,N,N
3256,송파공업고등학교,송파구,서울시 송파구 양산로 21,02-6711-0595,www.songpa-th.hs.kr,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
3261,서울외국어고,도봉구,서울시 도봉구 덕릉로66길 22,1670-1005,http://www.sfl.hs.kr/,0,Y,Y,N,Y,Y,N,N,N,N,N,N,N
3132,진관중학교,은평구,서울시 은평구 진관4로  36,02-383-5379,www.jingwan.ms.kr,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
592,신림본부치안센터,관악구,서울시 관악구 문성로25길 12-15,02-853-4667,,0,Y,Y,Y,N,N,N,Y,N,N,N,N,N
5767,진선여고 대강당,강남구,서울시 강남구 역삼2동 713,,,0,Y,Y,N,N,N,N,Y,N,N,N,N,N
5781,포스트극장,마포구,서울시 마포구 와우산로 148,,,0,N,N,N,N,N,N,N,N,N,N,N,N
5869,뮤지컬 전용 극장 - 씨어터 S,용산구,서울시 용산구 청파동2가 53-12 숙명여자대학교 내,,,0,N,N,N,N,N,N,N,N,N,N,N,N
711,잠실2동우체국,송파구,서울시 송파구 올림픽로 147,02-423-2004,,0,Y,N,Y,N,N,N,N,N,N,N,N,N
716,홍익우체국,마포구,서울시 마포구 와우산로 94,02-332-0402,,0,N,Y,N,N,N,N,N,N,N,N,N,N
720,신당동 우체국,중구,서울시 중구 다동길 11,02-2236-0606,,0,Y,N,Y,N,N,N,N,N,N,N,N,N
73,방화2동주민센터,강서구,서울시 강서구 개화동로23길 20,02-2600-5235,http://www.gangseo.seoul.kr/site/dong/index.jsp?dnum=21&dcode=BH2,2,Y,Y,Y,Y,N,N,N,N,N,N,N,N
453,망원2동치안센터,마포구,서울시 마포구 월드컵로31길 18,02-336-4403,,0,N,Y,Y,N,N,N,N,N,N,N,N,N
755,마포우체국,마포구,서울시 마포구 마포대로 89,02-715-0014,http://www.koreapost.go.kr/se/121/,0,N,Y,Y,Y,N,N,N,N,N,N,N,N
432,동묘파출소,종로구,서울시 종로구 종로58길 19,02-2252-0547,,0,Y,Y,N,N,N,N,N,N,N,N,N,N
761,자양동우체국,광진구,서울시 광진구 뚝섬로 640,02-455-2004,,0,Y,Y,Y,N,N,N,N,N,N,N,N,N
62,더브러마트,도봉구,서울시 도봉구 방학로15길 19,02-3494-2288,,0,Y,N,Y,N,N,N,N,N,N,N,N,N
392,고덕1 치안센터,강동구,서울시 강동구 고덕로55길 63,,,0,Y,Y,N,N,N,N,N,N,N,N,N,N
1442,한국마사회창동지점,도봉구,서울시 도봉구 노해로67길  14,,,1,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
1449,목동웨딩의전당,양천구,서울시 양천구 국회대로 272,,,0,Y,N,N,N,Y,N,N,N,N,N,N,N
728,금호2가우체국,성동구,서울시 성동구 금호로11길    2,02-2236-0020,,0,Y,Y,N,N,N,N,N,N,N,N,N,N
115,용신동주민센터,동대문구,서울시 동대문구 천호대로37길 35,02-2171-6022,http://dong.ddm.go.kr/intro,0,Y,N,Y,N,Y,N,N,N,N,N,N,N
128,신수동복합청사,마포구,서울시 마포구 독막로 192,02-3153-6680,http://www.mapo.go.kr/CmsWeb/template/sinsu,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
1868,경동제일교회,중랑구,서울시 중랑구 봉화산로 91,,,0,Y,Y,Y,N,N,N,N,N,N,N,N,N
2,토우마트2단지,성동구,서울시 성동구 마장로37길  53-14,02-227-0276,,0,Y,Y,N,N,N,N,N,N,N,N,N,N
1458,창광교회,서대문구,서울시 서대문구 연세로2길 69,,,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
409,이문파출소,동대문구,서울시 동대문구 한천로 402,02-961-8738,,0,Y,N,Y,N,N,N,N,N,N,N,N,N
1759,상암동 성당 ,마포구,서울시 마포구 월드컵로42길   36,,,0,Y,Y,Y,N,N,N,N,N,N,N,N,N
980,서계대명빌딩,용산구,서울시 용산구 만리재로  192,,,0,Y,Y,Y,N,N,N,N,N,N,N,N,N
4001,서울평안교회(평안어린이집),관악구,서울시 관악구 은천로 144,02-879-1424,,0,Y,Y,Y,N,N,N,N,N,N,N,N,N
3922,두란노어린이집,강서구,서울시 강서구 금낭화로13길 51,02-2663-5590,,0,Y,Y,Y,Y,N,N,N,N,N,N,N,N
4334,관악예삐어린이집,관악구,서울시 관악구 문성로 238,02-863-7884,,1,Y,Y,Y,N,N,N,N,N,N,N,N,N
4339,하나몬테소리어린이집,은평구,서울시 은평구 증산로17길  25-1,02-375-1233,,0,Y,Y,Y,N,N,N,N,N,N,N,N,N
5340,마리오-2 패션타워,금천구,서울시 금천구 디지털로9길 23,02-2109-7000,http://www.mariooutlet.co.kr/web/outlet/mariooutlet_comway,0,Y,Y,Y,N,Y,Y,N,N,N,N,N,N
4020,성가정어린이집,관악구,서울시 관악구 난곡로30길 25,02-863-2306,,0,Y,Y,N,N,N,N,N,N,N,N,N,N
5285,에이스하이엔드타워5차,금천구,서울시 금천구 가산디지털1로  226,,,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N
4606,강동청소년수련관,강동구,서울시 강동구 아리수로93길 47,02-6252-1300,http://www.wagle.or.kr/,0,N,Y,Y,Y,Y,N,N,N,N,N,N,N
4611,청소년수련관,강서구,서울시 강서구 곰달래로57가길  26,02-2061-1318,,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
1755,주님의교회,영등포구,서울시 영등포구 디지털로 436,,,0,Y,Y,Y,N,N,N,N,N,N,N,N,N
3919,한놀어린이집,강서구,서울시 강서구 등촌로55길  11-11,02-2651-7280,,0,Y,Y,Y,N,N,N,N,N,N,N,N,N
3926,구립 둔촌어린이집,강동구,서울시 강동구 명일로 129,02-474-7445,,0,Y,Y,Y,N,N,N,N,N,N,N,N,N
5366,메가벤처타워,영등포구,서울시 영등포구 문래로20길   60,02-2632-4438,,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N
4649,대한체육회선수촌,노원구,서울시 노원구 화랑로 681,02-970-0021,,0,Y,Y,N,N,N,N,N,N,N,N,N,N
4651,광운대학교(아이스링크),노원구,서울시 노원구 광운로1길 24,02-909-3114,http://icerink.kw.ac.kr/,0,Y,Y,Y,N,N,N,N,N,N,N,N,N
4667,골프장,서초구,서울시 서초구 강남대로 545-9,02-547-1831,http://www.gmaxgolf.co.kr/,0,Y,N,N,N,N,N,N,N,N,N,N,N
4673,이천이프라자,강서구,서울시 강서구 공항대로  271,,,0,Y,N,Y,N,N,N,N,N,N,N,N,N
5379,아연디지털타워,성동구,서울시 성동구 성수일로6길 33,,,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N
5384,파트너스타워2차,구로구,서울시 구로구 디지털로32가길  16,02-2028-3988,,0,Y,Y,Y,N,N,N,N,N,N,N,N,N
1415,LG아트센터,강남구,서울시 강남구 논현로  508,02-2005-0114,http://www.lgart.com,0,Y,Y,N,Y,N,N,Y,N,N,N,N,N
3544,이화여자대학교 E.C.C(이화캠퍼스밸리),서대문구,서울시 서대문구 이화여대길 52,02-3277-2114,www.ewha.ac.kr,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
3463,선일이비즈니스고등학교,은평구,서울시 은평구 갈현로29길 27,02-352-8025,www.ebiz.hs.kr,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N
3907,롯대백화점어린이집,종로구,서울시 종로구 북촌로5길 11,02-3674-5004,,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N
3917,홍익어린이집,양천구,서울시 양천구 지양로9길 5,02-2607-4523,,0,N,Y,Y,N,Y,N,N,N,N,N,N,N
3534,서울제일대학원대학교,강북구,서울시 강북구 인수봉로 225,02-994-8311,,1,Y,Y,N,Y,Y,N,N,N,N,N,N,N
3057,광희중학교,성동구,서울시 성동구 독서당로62길 46,02-2298-0250,www.kwanghee.ms.kr,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
3065,신명중학교,강동구,서울시 강동구 명일로24길 33,02-477-9589,www.sinmyung.ms.kr,0,Y,Y,N,N,Y,N,N,N,N,N,N,N
3320,선일여자고등학교,은평구,서울시 은평구 갈현로29길 27,02-355-9994,www.sunil.hs.kr,0,Y,Y,N,N,N,N,N,N,N,N,N,N
3684,노드 잉글리아 에듀케이션 코리아,강남구,서울시 강남구 압구정로80길 31,,,0,Y,N,Y,Y,Y,N,N,N,N,N,N,N
3213,선정여자중학교,은평구,서울시 은평구 서오릉로20길 19,02-3156-1400,http://www.sunjung.ms.kr/,0,Y,Y,Y,N,N,N,N,N,N,N,N,N
4037,키스톤어린이집,용산구,서울시 용산구 원효로35길  37-7,,,1,Y,Y,N,N,Y,N,N,N,N,N,N,N
2887,강남초등학교,동작구,서울시 동작구 강남초등길 15,02-824-4471,www.kangnam-se.es.kr,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
3564,동명학원,관악구,서울시 관악구 호암로26가길 52,02-882-8950,,0,Y,Y,N,Y,N,N,N,N,N,N,N,N
3570,송파메가스터디학원,송파구,서울시 송파구 위례성대로 92,031-8022-2027,,0,Y,Y,Y,Y,N,N,N,N,N,N,N,N
3523,성신여대운정캠퍼스,강북구,서울시 강북구 도봉로76가길 55,02-920-7870,http://www.sungshin.ac.kr/,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
3531,추계예술대학교,서대문구,서울시 서대문구 북아현로11가길  7,02-362-5700,www.chugye.ac.kr,0,Y,Y,Y,N,N,N,N,N,N,N,N,N
2678,미양초등학교,강북구,서울시 강북구 솔샘로 195,02-989-9467,www.mi-yang.es.kr,3,N,Y,Y,Y,Y,N,N,N,N,N,N,N
5501,LG U+(KIDC),강남구,서울시 강남구 언주로 616,,,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N
2853,동신초등학교,성북구,서울시 성북구 보문사길  50,02-923-3870,www.sdongsin.es.kr,0,N,Y,Y,N,N,N,N,N,N,N,N,N
3566,유림학원,관악구,서울시 관악구 호암로20길 46,,,0,Y,Y,N,N,N,N,N,N,N,N,N,N
3573,토피아어학원,성북구,서울시 성북구 삼양로  32,02-986-0100,,0,N,Y,Y,N,N,N,N,N,N,N,N,N
3101,동북중학교,강동구,서울시 강동구 강동대로  305,02-477-2280,www.dongbuk.ms.kr,0,N,Y,N,N,N,N,N,N,N,N,N,N
2539,청원초병설유치원,노원구,서울시 노원구 한글비석로 506,02-3399-7886,www.cheongwon-seoul.es.kr/,0,Y,Y,Y,N,N,N,N,N,N,N,N,N
2558,상지초등학교,마포구,서울시 마포구 월드컵로42길  30,02-303-9009,www.seoulsangji.es.kr,0,Y,Y,N,Y,Y,N,N,N,N,N,N,N
2896,망우초등학교,중랑구,서울시 중랑구 망우로72길 49,02-2209-6323,www.mangwoo.es.kr,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
2898,연촌초등학교,노원구,서울시 노원구 공릉로58길 36,02-972-1676,www.yeonchon.es.kr,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
2908,서울 대방초등학교,영등포구,서울시 영등포구 여의대방로35길 14,02-833-0083,www.sdaebang.es.kr,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
3110,고려사대부속중학교,성북구,서울시 성북구 정릉로 161,02-914-8853/914-3368,http://www.koryo.ms.kr/,0,Y,Y,Y,N,N,N,N,N,N,N,N,N
3113,용산중학교,용산구,서울시 용산구 두텁바위로 60,070-4000-3800,http://www.yong-san.ms.kr,0,Y,Y,N,N,N,N,N,N,N,N,N,N
3038,재현중학교,노원구,서울시 노원구 덕릉로82길 64,02-932-4816,http://jaehyun.ms.kr/,0,N,Y,Y,Y,Y,N,N,N,N,N,N,N
2503,불광유치원,송파구,서울시 송파구 송파대로4길 23,02-422-1311~2,www.bulkwangkids.com,0,Y,Y,Y,N,N,N,N,N,N,N,N,N
