id,location,x,info,tel,y
17,媛뺣궓援??⑦쁽??278-1,127.1070039,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-3423-8670,37.46907695
18,媛뺤꽌援?諛⑺솕??452-5,126.8125652,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-2662-3491,37.57420717
19,愿?낃뎄 遊됱쿇??661,126.932662,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-879-4201,37.48815721
20,愿?낃뎄 ?좊┝??1694-7,126.9349586,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-879-4741,37.47499978
21,愿?낃뎄 遊됱쿇??1539-1,126.941651,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-879-4381,37.47911257
22,愿?낃뎄 ?좊┝??763-9,126.9155798,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-879-4591,37.47621968
23,愿?낃뎄 ?좊┝??1735-5,126.9187214,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-879-4651,37.46153018
24,愿?낃뎄 遊됱쿇??1624-24,126.9583723,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-879-4411,37.47633399
25,愿?낃뎄 ?좊┝??492-4,126.9180808,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-879-4531,37.48541991
26,愿?낃뎄 遊됱쿇??1512-7,126.9497094,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-879-4291,37.48418855
27,愿?낃뎄 遊됱쿇??1712-9,126.9482179,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-879-4261,37.4895481
28,愿?낃뎄 ?좊┝??1528,126.9329394,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-879-4771,37.47010707
29,愿?낃뎄 ?⑦쁽??1086-1,126.9778934,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-879-4471,37.47457844
30,愿?낃뎄 ?좊┝??1439-3,126.9270959,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-879-4501,37.48741466
31,愿?낃뎄 ?좊┝??1601-3,126.9273019,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-879-4711,37.48157634
32,愿?낃뎄 遊됱쿇??1670-7,126.9570428,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-879-4351,37.48065157
33,愿?낃뎄 遊됱쿇??1570-1,126.9515026,"?됱씪 09:00~22:00, 二쇰쭚 09:00~22:00",02-879-5000,37.4782656
34,愿?낃뎄 遊됱쿇??1000,126.9584552,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-879-4321,37.49226377
35,愿?낃뎄 ?좊┝??568-27,126.907777,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-879-4561,37.48255788
36,愿?낃뎄 ?좊┝??633-56,126.9216721,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-879-4621,37.47093097
37,愿?낃뎄 遊됱쿇??1635-40,126.965304,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-879-4441,37.47511228
38,愿?낃뎄 遊됱쿇??905-29,126.9424075,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-879-4231,37.48530724
39,愿?낃뎄 ?좊┝??1516,126.936933,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-879-4801,37.47059194
40,愿?낃뎄 ?좊┝??1641-65,126.9312687,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-879-4681,37.47980368
41,愿?낃뎄 遊됱쿇??1570-1,126.9515026,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-881-5547,37.4782656
42,?쒖슱?밸퀎??援щ줈援?援щ줈??1213,126.8951964,?꾩쨷 06:00~22:00,02-6110-2331,37.492563
43,?쒖슱?밸퀎??援щ줈援??⑥닔??109-7,126.8241758,?꾩쨷 06:00~22:00,02-1544-7788,37.49248
44,湲덉쿇援?媛?곕룞 144-3,126.8917265,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-2627-2501,37.47687696
45,湲덉쿇援??낆궛1??289-5,126.89704,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-2627-2503,37.47020673
46,湲덉쿇援??낆궛2??1035-13,126.8997424,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-2627-2505,37.46606094
47,湲덉쿇援??낆궛??973-17,126.9031631,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-2627-2507,37.47514781
48,湲덉쿇援??낆궛??1022,126.9021288,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-2627-2509,37.46755486
49,湲덉쿇援??쒗씎1??886-6,126.9032352,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-2627-2514,37.45355483
50,湲덉쿇援??쒗씎2??267-9,126.9144858,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-2627-2515,37.44961046
51,湲덉쿇援??쒗씎3??956-3,126.9058125,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-2627-2517,37.44027254
52,湲덉쿇援??쒗씎4??812-38,126.9061307,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-2627-2519,37.45894045
53,湲덉쿇援??쒗씎??832-14,126.908276,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-2627-2521,37.45235581
54,湲덉쿇援??낆궛1??1011-1,126.8963126,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-6912-8000,37.46397333
55,??됯뎄 ?섏깋??136-50,126.8975228,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-351-5422,37.5841706
56,??됯뎄 ?묒븫1??96-3,126.926754,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-351-5212,37.60075715
57,??됯뎄 援ъ궛??191-1,126.9067938,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-351-3982,37.60567438
58,以묎뎄 ?덇???115-6,126.9976253,"?됱씪 09:00~22:00, 二쇰쭚 09:00~22:00",02-3396-4114,37.5639254
59,以묎뎄 ?꾩?濡?媛 18-14,127.0062518,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-3396-4100,37.5684713
60,以묎뎄 ?좊떦??160-2,127.0227913,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-2237-2471,37.56508393
61,以묎뎄 ?쒗룊濡?媛 31,126.9781943,"?됱씪 09:00~22:00, 二쇰쭚 09:00~22:00",02-120,37.56658492
62,?쒖슱?밸퀎??以묎뎄 ?쒖냼臾몃룞 37,126.9757139,"?됱씪 09:00~22:00, 二쇰쭚 09:00~22:00",02-120,37.5644431
63,?쒖슱?밸퀎??以묎뎄 ?쒗룊濡?媛 31,126.9778805,???쇱슂??09:00~18:00(?붿슂?? 怨듯쑕???대Т),02-2133-0300,37.5663212
64,?깅룞援??됰떦??7,127.03673,"?됱씪 09:00~22:00, 二쇰쭚 09:00~22:00",02-2286-5114,37.56321062
65,?쒖슱?밸퀎???깅룞援??띿씡??16-15,127.0332304,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-2286-7000,37.5670415
66,?깅룞援?留덉옣??527-2,127.0336469,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-2296-8307,37.57038002
67,?깅룞援?留덉옣??527-2,127.0336469,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-2290-3100,37.57038002
68,?깅룞援??깆닔??媛 656-323,127.0469523,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-2204-9970,37.54543031
69,?쒖슱?밸퀎???깅룞援??됰떦??168-200,127.0387918,?꾩쨷 06:00~22:00,02-6110-2081,37.5612929
70,?깅룞援??깆닔??媛 333-16,127.0529713,?꾩쨷 09:00~17:00(留덊듃 ?대Т???쒖쇅),02-3408-1234,37.53969762
71,?깅룞援?留덉옣??780-2,127.0453867,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-2286-7241,37.56629476
72,?깅룞援??깆닔2媛1??333-134,127.0540588,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-2286-7461,37.53952028
73,媛뺣룞援?媛뺤씪??678,127.1738883,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-3425-7400,37.56503649
74,媛뺣룞援?怨좊뜒??494-5,127.1514894,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-3425-7520,37.55727494
75,媛뺣룞援?怨좊뜒2??226-4,127.1643616,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-3425-7550,37.56054915
76,媛뺣룞援?湲몃룞 103-1,127.1462344,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-3425-7850,37.53921986
77,媛뺣룞援??붿큿1??172-5,127.1367039,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-3425-7880,37.52343067
78,媛뺣룞援??붿큿2??65,127.1419235,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-3425-7910,37.53333642
79,媛뺣룞援?紐낆씪1??327-5,127.1459601,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-3425-7460,37.54971884
80,媛뺣룞援?紐낆씪2??223-7,127.1514159,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-3425-7490,37.54628302
81,媛뺣룞援??붿궗1??493-13,127.1326478,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-3425-7580,37.5514679
82,媛뺣룞援??붿궗3??414-19,127.1408031,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-3425-7640,37.55496907
83,媛뺣룞援?泥쒗샇1??76-2,127.1367838,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-3425-7670,37.54504778
84,媛뺣룞援?泥쒗샇3??555,127.1297616,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-3425-7730,37.53992148
85,媛뺣턿援??섏쑀3??192-59,127.0254511,"?됱씪 09:00~22:00, 二쇰쭚 09:00~22:00",02-901-6114,37.63954271
86,媛뺣턿援?踰???306-12,127.0390228,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-989-4215,37.6287895
87,愿묒쭊援??먯뼇??777,127.0824319,"?됱씪 09:00~22:00, 二쇰쭚 09:00~22:00",02-450-1114,37.53841688
88,愿묒쭊援?援ъ쓽2??620-13,127.0860194,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-446-2322,37.54603371
89,愿묒쭊援?以묎끝2??119-2,127.0861137,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-447-2092,37.55517758
90,愿묒쭊援?援ъ쓽2??16-3,127.0976178,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-446-1237,37.5508026
91,?몄썝援??붽퀎??556,127.0527657,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),,37.62812129
92,?몄썝援??붽퀎??321,127.06049,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),,37.63004361
93,?몄썝援?怨듬쫱??708,127.0694081,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),,37.63027089
94,?몄썝援??섍퀎??256,127.0743289,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),,37.64279419
95,?몄썝援?以묎퀎??363-4,127.0803053,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-2116-2626,37.64780397
96,?몄썝援?以묎퀎??515-3,127.0651746,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),,37.64725394
97,?몄썝援?以묎퀎??514-3,127.0689905,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),,37.64650488
98,?몄썝援?以묎퀎??358,127.0761457,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),,37.65659964
99,?몄썝援??곴퀎??771-3,127.0569414,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),,37.64168241
100,?몄썝援??곴퀎??1295,127.0568133,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-2116-2742,37.67198538
101,?몄썝援??곴퀎??37-7,127.0831653,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-2116-2815,37.67282273
102,?몄썝援??곴퀎10??671,127.0602364,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-2116-2955,37.66125894
103,?몄썝援?怨듬쫱??656-5,127.0809648,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),,37.61905745
104,?몄썝援??곴퀎??701-1,127.056643,"?됱씪 09:00~22:00, 二쇰쭚 09:00~22:00",02-2116-3114,37.65416282
105,?몄썝援??곴퀎??110-9,127.0797062,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),,37.6688942
106,?몄썝援??곴퀎??1305,127.0639508,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-7721-8213,37.6576331
107,?몄썝援??곴퀎??138-36,127.0726823,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-933-6539,37.66449539
108,?몄썝援??곴퀎??771,127.0567514,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-932-4415,37.64233935
109,?몄썝援?以묎퀎??584-1,127.0726462,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),,37.65895768
110,?꾨큺援?諛⑺븰??720,127.0470815,"?됱씪 09:00~22:00, 二쇰쭚 09:00~22:00",02-2091-2120,37.6687068
111,?꾨큺援??띾Ц??565,127.0387625,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-2091-4600,37.65798303
112,?꾨큺援??띾Ц2??653,127.0387094,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-907-0916,37.65639696
113,?꾨큺援?諛⑺븰??728,127.0444204,?꾩쨷 06:00~22:00,1544-7788,37.66565211
114,?꾨큺援?李쎈룞 57-11,127.0509262,?꾩쨷 06:00~22:00,1544-7788,37.64562176
115,?숇?臾멸뎄 ?⑹떊??39-9,127.0397328,"?됱씪 09:00~22:00, 二쇰쭚 09:00~22:00",02-2127-5000,37.57441188
116,?숇?臾멸뎄 ?섍꼍??317-101,127.0592845,?꾩쨷 06:00~22:00,1544-7788,37.59078258
117,?숇?臾멸뎄 ?⑸몢??237-65,127.0345563,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),,37.572883
118,?숈옉援??곷룄??437,126.9530628,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-815-3084,37.49809744
119,?숈옉援??묒꽍??335-2,126.9666399,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-815-1046,37.50580244
120,?곷벑?ш뎄 ?곷벑?щ낯??215-9,126.911557,?꾩쨷 09:00~17:00,02-843-1377,37.51116253
121,?숈옉援??щ떦4??300-8,126.9714861,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-585-0050,37.4809502
122,?숈옉援??щ떦5??228-11,126.9669248,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-820-2995,37.48567625
123,?숈옉援??諛⑸룞 501-2,126.9262774,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-820-2996,37.50822279
124,?숈옉援??좊?諛???355-9,126.9258293,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-821-1008,37.49892307
125,?쒖슱?밸퀎???숈옉援??щ떦??736-1,126.9821654,?꾩쨷 06:00~22:00,02-6110-4321,37.4870525
126,?쒖슱?밸퀎???숈옉援??숈옉??327-1,126.980365,?꾩쨷 06:00~22:00,02-6110-4311,37.5028364
127,?쒖슱?밸퀎??留덊룷援??깆궛??390-1,126.895033,?꾩쨷 09:00~17:00,,37.5663286
128,留덊룷援??깆궛??595-1,126.9007733,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-306-6212,37.5654397
129,留덊룷援??깆궛??591-4,126.902733,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-337-6150,37.56478748
130,?쒖큹援?諛⑸같??455-11,126.9827665,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-581-7992,37.48078128
131,?쒖큹援??쒖큹??1310-10,127.0239748,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-540-6500,37.49986109
132,?쒖큹援??곕㈃??63,127.024202,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-577-6321,37.47018217
133,?쒖큹援??쒖큹??1666-17,127.0167802,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-3474-6080,37.49236869
134,?쒖큹援??쒖큹??380,127.0248525,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-2055-0909,37.48214063
135,?곷벑?ш뎄 ?좉만??440-57,126.9079726,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-846-0042,37.49754236
136,?곷벑?ш뎄 ?곷벑?щ룞2媛 94-379,126.9128434,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-3667-7979,37.52079486
137,?곷벑?ш뎄 臾몃옒??媛 76-2,126.8903439,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-2068-5326,37.51684602
138,?곷벑?ш뎄 ?뱀궛??媛 385-1,126.8959386,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-2670-3114,37.52626409
139,?곷벑?ш뎄 ?곷벑?щ낯??592-70,126.9093305,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-2670-1024,37.51465373
140,?곷벑?ш뎄 ?좉만1??465-2,126.9214307,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-2670-1259,37.51100741
141,?곷벑?ш뎄 ?由???740-4,126.8980425,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-2670-1424,37.49832368
142,?곷벑?ш뎄 ?뱀궛??121-41,126.9075894,?꾩쨷 09:00~17:00,02-2068-1140,37.53090697
143,?곷벑?ш뎄 ?由???899-2,126.9059602,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-2670-4857,37.49544965
144,?곷벑?ш뎄 ?묓룊??媛 172-1,126.8959022,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-2670-1233,37.53780253
145,?곷벑?ш뎄 ?由???705,126.8981472,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-2670-1419,37.49267515
146,?곷벑?ш뎄 ?뱀궛??媛 407,126.8939523,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-831-0855,37.52596694
147,?⑹궛援??댄깭?먮룞 34-87,126.9901586,"?됱씪 09:00~22:00, 二쇰쭚 09:00~22:00",02-2199-6114,37.53256298
148,?⑹궛援??⑥갹??255-5,126.9617684,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-2199-8520,37.54253103
149,?⑹궛援??쒓컯濡?媛 80-2,126.9710702,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-716-0302,37.5304759
150,?⑹궛援??⑥갹??3-268,126.9614587,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-707-1970,37.54729341
151,以묐옉援?硫대ぉ4??1382,127.087802,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-436-0500,37.57369139
152,以묐옉援??좊궡2??660,127.0945808,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-3421-1988,37.60926232
153,以묐옉援??곷큺??481,127.0911238,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-3421-3400,37.60536549
154,以묐옉援??좊궡1??572-2,127.0959972,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-438-2691,37.60419716
155,以묐옉援?硫대ぉ2??178-8,127.07788,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-493-9966,37.58843828
156,以묐옉援??좊궡??771-1,127.0880293,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-3421-4800,37.61483513
157,以묐옉援?臾???35-22,127.0836753,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-977-8291,37.61732659
158,以묐옉援?硫대ぉ5??175-18,127.0794573,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-2094-6160,37.58575028
159,以묐옉援?硫대ぉ??495,127.0880586,?꾩쨷 06:00~22:00,02-6311-7221,37.5825155
160,以묐옉援?硫대ぉ??282-6,127.0873343,?꾩쨷 06:00~22:00,02-6311-7211,37.58921637
161,以묐옉援??곷큺??100-46,127.0853714,?꾩쨷 06:00~22:00,1544-7788,37.59669469
162,以묐옉援??곷큺??172,127.0912398,?꾩쨷 06:00~22:00,1544-7788,37.5992296
163,以묐옉援?以묓솕??73-7,127.0757845,?꾩쨷 06:00~22:00,1544-7788,37.5948142
164,?묒쿇援?紐⑸룞 552-1,126.8663292,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-2651-2332,37.54455414
165,?묒쿇援??좎젙??1278-1,126.8765338,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-2643-7221,37.51693673
166,?묒쿇援??좎젙6??319-13,126.8699452,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-2061-2500,37.5198891
167,?묒쿇援??좎썡6??1002-18,126.8379025,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-2698-5887,37.51632783
168,?묒쿇援??좎썡7??988-3,126.8338736,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-2608-2979,37.52060999
169,?쒕?臾멸뎄 ?고씗??168-28,126.936807,"?됱씪 09:00~22:00, 二쇰쭚 09:00~22:00",02-330-1300,37.5792758
170,?쒕?臾멸뎄 遺곸븘?꾨룞 129-71,126.9571778,"?됱씪 09:00~17:00, 二쇰쭚 09:00~17:00",02-3140-3000,37.5594722
171,?쒕?臾멸뎄 ?④?醫뚮룞 270-1,126.9138124,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-3156-6699,37.57072621
172,?쒕?臾멸뎄 ?띿젣??279-30,126.9490076,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-379-0168,37.59518108
173,?쒕?臾멸뎄 異⑹젙濡?媛 185-2,126.9624086,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-330-8192,37.5629618
174,?쒕?臾멸뎄 遺곸븘?꾨룞 1-90,126.9547577,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-330-8101,37.5648331
175,?쒕?臾멸뎄 ??꾨룞 142-4,126.9435934,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-330-8111,37.55955682
176,?쒕?臾멸뎄 ?고씗??77-9,126.9352563,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-330-8115,37.5739171
177,?쒕?臾멸뎄 ?띿젣??171-1,126.944872,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-330-8121,37.58769889
178,?쒕?臾멸뎄 ?띿젣??459-4,126.9493394,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-330-8127,37.58611127
179,?쒕?臾멸뎄 ?띿젣??6-132,126.9496751,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-330-8125,37.5938526
180,?쒕?臾멸뎄 ?띿?1??11-853,126.9471227,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-330-8129,37.59886173
181,?쒕?臾멸뎄 ?띿???273-10,126.9341225,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-330-8133,37.5800832
182,?쒕?臾멸뎄 ?④?醫???152-18,126.916476,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-330-8136,37.57087453
183,?쒕?臾멸뎄 ?④?醫???342-7,126.9238617,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-330-8137,37.5784545
184,?쒕?臾멸뎄 遺곴?醫???477,126.910187,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-330-8139,37.57429841
185,?쒕?臾멸뎄 遺곴?醫뚮룞 324-13,126.9112111,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-330-8141,37.5815241
186,?쒖슱?밸퀎???쒕?臾멸뎄 ?띿젣??25-1,126.9502914,?꾩쨷 06:00~22:00,02-6110-3251,37.582449
187,?쒖슱?밸퀎???쒕?臾멸뎄 遺곸븘?꾨룞 251-46,126.9561703,?꾩쨷 06:00~22:00,02-6110-2421,37.5574233
188,?≫뙆援??좎떎??56-20,127.0770006,?꾩쨷 06:00~22:00,02-2656-0930,37.5111062
189,?쒖큹援??쒖큹??1376-3,127.0326456,"?됱씪 09:00~22:00, 二쇰쭚 09:00~22:00",02-2155-6114,37.4834998
190,?쒖큹援??쒖큹??130-18,127.0116977,?덉닠?섏쟾??媛쒖옣 ?쒓컙??02-580-1300,37.479514,
191,?쒖큹援?諛섑룷??115-5,126.9927413,洹쇰Т?쒓컙??02-591-5943,37.5076674,
192,媛뺣궓援??쇳쁽??50-2,127.0213018,?꾩쨷 06:00~22:00,02-6311-7321,37.5111595
193,?쒖큹援??좎썝??103,127.0116808,?꾩쨷 06:00~22:00,02-6311-7331,37.5081727
194,?쒖큹援?諛섑룷??19-11,127.0048871,?꾩쨷 06:00~22:00,02-6110-3391,37.50484869
195,?쒖큹援?諛⑸같??874-17,126.9931061,?꾩쨷 06:00~22:00,02-6311-7351,37.4875209
196,?쒖큹援?諛⑸같??2290,126.9819092,?꾩쨷 06:00~22:00,02-6311-7361,37.4853388
197,?쒖큹援?諛⑸같??445-3,126.9821977,?꾩쨷 06:00~22:00,02-6110-2261,37.4766438
198,?쒖큹援??좎썝??60-22,127.0114181,?꾩쨷 06:00~22:00,02-6110-3381,37.5128992
199,?쒖큹援??쒖큹??1732-11,127.007557,?꾩쨷 06:00~22:00,02-6110-2241,37.4917508
200,?쒕?臾멸뎄 異⑹젙濡?媛 281-49,126.9651836,?꾩쨷 06:00~22:00,02-6110-2431,37.560137
201,?쒖슱?밸퀎??留덊룷援???λ룞 3-63,126.9459265,?꾩쨷 06:00~22:00,02-6110-2411,37.5567628
202,?쒕?臾멸뎄 ?꾩???95-3,126.9579436,?꾩쨷 06:00~22:00,,37.5744128
203,?쒕?臾멸뎄 ?띿젣??33-110,126.9421584,?꾩쨷 00:00~24:00,,37.5818385
204,?쒕?臾멸뎄 ?꾩???107-553,126.9537988,00:00~24:00,,37.570545
205,留덊룷援??곸븫??478-1,126.8787733,?꾩쨷 06:00~24:00,,37.5744329
206,留덊룷援??깆궛??370,126.901381,?꾩쨷 06:00~22:00,,37.5661699
